案件代碼,分區,縣市,計畫名稱,開發單位,核定日期,終期計畫用水量(CMD)
990927001,中區,南投縣,高等研究園區實質計畫,科技部中部科學工業園區管理局,099/8/25,4281
990903001,北區,新竹縣,新竹縣鳳山工業區開發計畫用水計畫書,新竹縣政府,099/7/16,1001
990426001,中區,彰化縣,彰化縣彰南產業園區開發計畫,彰化縣政府,099/4/13,6100
990401001,中區,彰化縣,國際引藻生物科技有限公司二林新廠開發計畫,國際引藻生物科技有限公司,099/02/12,
981207001,南區,高雄市,高雄縣岡山本洲工業區開發計畫,高雄市政府經濟發展局,098/11/2,5000
980609002,南區,高雄市,華榮高楠廠工商綜合區開發計畫,華榮電線電纜股份有限公司,098/5/4,814
980615001,南區,台南市,台灣蘭花生物科技園區開發計畫,臺南市政府農業局,098/4/21,1703
980216001,北區,新北市,三鶯陶瓷藝術主題園區整體開發計畫,臺北縣政府城鄉發展局,098/1/10,337
971105003,中區,台中市,台中市精密機械科技創新園區二期開發計畫,台中市政府,097/8/11,563
970721002,南區,高雄市,台灣中油股份有限公司三輕更新計畫,台灣中油股份有限公司,097/7/7,48000
970904001,中區,苗栗縣,通霄電廠更新擴建計畫,台灣電力公司,097/7/4,599
970721001,北區,新北市,深澳電廠更新擴建計畫,台灣電力公司,097/6/26,1994
970522001,北區,桃園市,新竹科學工業園區龍潭基地興建工程,科技部新竹科學工業園區管理局,097/4/14,46500
970409002,中區,台中市,貝民公司台中港建廠計畫,貝民股份有限公司,097/3/31,3641
951110001,中區,台中市,中龍鋼鐵股份有限公司第二期第二階擴建計畫,中龍鋼鐵股份有限公司,097/1/25,75000
970124002,南區,高雄市,國家運動選手訓練中心整建計畫,教育部體育署,097/1/4,900
971103001,北區,桃園市,桃園煉油廠(含第三重油加氫脫硫工場),台灣中油股份有限公司?製事業部桃園?油廠,096/12/14,30000
931001078,北區,宜蘭縣,遠東紡織宜蘭廠設置工商綜合區,遠東資源開發股份有限公司,096/11/28,431
961220001,中區,苗栗縣,龍港天然氣發電廠興建計畫,東鋼能源股份有限公司籌備處,096/10/3,331
960726001,中區,台中市,龍風發電計畫,龍風電力股份有限公司籌備處,096/7/3,2540
961122001,中區,台中市,臺中市神岡豐洲科技工業園區開發案,台中市政府,096/6/27,1275
