"PlanCode","PlanName","DevelopmentFactory","WaterRequired"
"台灣電力公司","1011220002","台中發電廠第11、12號機發電計畫","2199"
"苗栗縣政府","1011220003","苗栗縣後龍科技園區開發計畫","25287"
"倪燦炎","1011220004","來居山莊社區開發案","320"
"行政院國家科學委員會中部科學工業園區管理局","1011221001","中部科學工業園區第四期（二林園區）開發計畫","160000"
"臺灣農林股份有限公司","1020219001","銅鑼科學園區北側住宅區開發計畫","1294"
"台中縣政府","1020322001","新訂「烏日(溪南)產業發展特定區計畫」","4516"
"新竹科學工業園區管理局","1020424001","新竹科學工業園區宜蘭園區五結中興基地開發計畫","2500"
"新竹縣犁頭山自辦農村社區土地重劃區重劃會","1020819001","新竹縣犁頭山自辦農村社區土地重劃區開發計畫","263"
"高雄縣政府","1020930001","高雄縣岡山本洲擴大工業區開發計畫","4000"
"高雄縣政府","1020930002","高雄縣永安鄉海岸地區海埔新生地開發計畫","4330"
"新竹市政府","1020930003","擬定新竹市都市計畫(香山丘陵附近地區)新社區","2458"
"嘉義縣政府","1020930004","嘉義布袋智慧型工業園區開發計畫","42000"
"春龍開發股份有限公司","1020930005","聚興精密機械工業區開發計畫","350"
"聯鼎鋼鐵","1020930006","台南縣濱南工業區開發計畫(精緻一貫作業鋼廠)","80000"
"大東亞石油化學股份有限公司","1020930007","台南縣濱南工業區開發計畫(石化綜合)","80000"
"高雄縣政府","1021030001","新訂南科高雄園區特定區計畫(第一期)","28154.6"
"經濟部礦務局","1021101001","苗栗縣三義鄉拐子湖段土石採取場開發案","88.76"
"翡翠山水國際育樂開發股份有限公司","1021231001","宜蘭縣冬山鄉翡翠山水國際觀光旅館興辦事業計畫","97.62"
"巨寶建設股份有限公司","1021231002","新竹市東區光武段1075地號店鋪及集合住宅新建工程","246.87"
"興富發建設股份有限公司","1030124001","高雄市苓雅區林德官段1302地號興建工程","139"
"行政院農業委員會林業試驗所","1030306001","恆春熱帶植物園暨墾丁森林遊樂區整建計畫","271"
"嘉義縣政府","1030306002","嘉義縣馬稠後農場開發工業區計畫","53994"
"高雄縣政府","1030407001","高雄縣創新金屬科技園區大發基地","800"
"財團法人實踐大學","1030514001","實踐大學高雄分部擴校案","835"
"東和鋼鐵企業股份有限公司","1030801001","東和鋼鐵公司辦理桃園廠遷廠及工業區報編計畫","3546"
"城揚建設股份有限公司","1030811001","青海段36層大樓開發案","291"
"國防部海軍司令部","1030911001","新北市三芝區港平營區遷建案","7"
"欣服股份有限公司","1030911002","新店安康一般事業廢棄物掩埋場興建工程","355"
"新實運輸股份有限公司","1030911003","北台綜合科技園區開發計畫","2280"
"齊裕營造股份有限公司","1031002001","高雄市鼓山區青海段214地號店鋪、辦公室、集合住宅新建工程","277"
"春龍開發股份有限公司-開發部","1031016001","台中經貿科技工業園區","2065"
"台灣糖業股份有限公司","1031016002","台糖公司生質酒精工場","4186"
"苗栗縣政府","1031021001","擴大新竹科學園區竹南基地周邊地區特定區計畫","24032"
"富通開發股份有限公司","1031027001","義大亞洲帝國大樓新建工程","639"
"南部科學工業園區管理局","1031120001","台南科學工業園區特定區（科學園區部分）","200000"
"慶旺建設股份有限公司","1040303001","苓洲段35層大樓開發案","72"
"經濟部加工出口區管理處","1040317001","小港空運園區用水計畫書","2180"
"統樂開發事業股份有限公司","1040407001","愛文山土石方資源堆置場設置開發計畫","600"
"廣源造紙股份有限公司","1040421001","苑裡廣源科技工業園區開發案","518.9"
"統上開發建設股份有限公司","1040604001","統上國際藝術村開發計畫","542"
"臺南市政府","1040714001","變更台南新吉工業區開發計畫","6608"
"臺中市政府觀光旅遊局","1040902001","臺中市新大線纜車興建計畫","495.68"
"臺中市政府觀光旅遊局","1040902002","臺中市雪谷線空中纜車興建計畫","273"
"高雄市政府海洋局","1041008001","「高雄市南星計畫遊艇產業園區」委託公民營事業開發計畫","745"
"行政院農業委員會","1041013001","農業生物科技園區","9588"
"海山自辦農村社區土地重劃籌備會","1041027001","苗栗縣竹南鎮海山自辦農村社區土地重劃案","389"
"陳淑貞","1041109001","苗栗縣頭份鎮興龍華城山坡地住宅社區開發案","470"
"財團法人輔英科技大學","1041215001","輔英科技大學萬丹校區開發計畫","940"
"大社聯合汽電共生股份有限公司","1041217001","大社聯合汽電共生廠","3800"
"大社聯合汽電共生股份有限公司","1050406001","仁武汽電廠開發計畫用水計畫書","3800"
"賴文永","1050421001","萬方立花園別墅社區開發計畫","775.4"
"臺東縣政府","1050421002","新訂卑南都市計畫","1130"
"日月潭國家風景區管理處","1050422001","水里大彎服務區開發計畫","416"
"漢德建設股份有限公司","1051123001","基隆華興社區整體開發案","448.18"
"法務部矯正署臺北女子看守所","1051123002","台灣士林看守所遷建廳舍新建工程","808.325"
"彰化縣政府","1060112001","彰化縣彰南產業園區開發計畫","6100"
